Date,Open,High,Low,Close,Volume,Daily_Return,Price_Range,Price_Change,MA_7,MA_30,MA_90,Volatility_30d,Day_of_Week,Month,Year,Quarter
2015-10-04,238.53,238.97,237.94,238.26,12999000,-0.2,1.03,-0.27,237.67,234.83,253.63,1.26,Sunday,10,2015,4
2015-10-05,238.15,240.38,237.04,240.38,23335900,0.89,3.35,2.24,237.85,235.01,253.34,1.21,Monday,10,2015,4
2015-10-06,240.36,246.93,240.14,246.06,27535100,2.36,6.8,5.7,239.19,235.21,253.07,1.23,Tuesday,10,2015,4
2015-10-07,246.17,246.68,242.59,242.97,22999200,-1.26,4.1,-3.2,240.18,235.32,252.78,1.26,Wednesday,10,2015,4
2015-10-08,243.07,244.25,242.18,242.3,18515300,-0.27,2.07,-0.77,240.86,235.27,252.3,1.22,Thursday,10,2015,4
2015-10-09,242.5,244.23,242.12,243.93,17353100,0.67,2.11,1.43,241.81,235.47,251.76,1.16,Friday,10,2015,4
2015-10-10,243.74,245.32,243.07,244.94,15912700,0.41,2.24,1.2,242.69,235.68,251.02,1.16,Saturday,10,2015,4
2015-10-11,244.74,247.24,244.15,247.05,16827300,0.86,3.09,2.31,243.95,235.91,250.52,1.16,Sunday,10,2015,4
2015-10-12,246.88,247.45,245.18,245.31,17388300,-0.71,2.27,-1.57,244.65,236.25,250.06,1.1,Monday,10,2015,4
2015-10-13,245.2,250.24,243.76,249.51,28198500,1.71,6.48,4.31,245.14,236.88,249.65,1.06,Tuesday,10,2015,4
2015-10-14,249.49,254.27,248.9,251.99,27462600,0.99,5.37,2.5,246.43,237.59,249.36,1.07,Wednesday,10,2015,4
2015-10-15,252.11,255.96,252.05,254.32,25223500,0.93,3.92,2.21,248.15,238.39,249.08,1.07,Thursday,10,2015,4
2015-10-16,254.3,266.14,253.93,262.87,35901500,3.36,12.21,8.57,250.85,239.52,248.95,1.19,Friday,10,2015,4
2015-10-17,262.75,273.58,262.37,270.64,43199600,2.96,11.21,7.89,254.53,240.88,248.92,1.27,Saturday,10,2015,4
2015-10-18,270.91,271.67,260.78,261.64,22434300,-3.32,10.89,-9.26,256.61,241.84,248.72,1.45,Sunday,10,2015,4
2015-10-19,261.86,264.82,260.95,263.44,25258800,0.69,3.87,1.58,259.2,242.9,248.59,1.43,Monday,10,2015,4
2015-10-20,263.57,270.83,263.23,269.46,30889800,2.29,7.61,5.89,262.05,244.18,248.5,1.47,Tuesday,10,2015,4
2015-10-21,269.31,270.77,263.84,266.27,25637300,-1.18,6.93,-3.03,264.09,245.48,248.39,1.44,Wednesday,10,2015,4
2015-10-22,266.5,276.51,266.14,274.02,37808600,2.91,10.38,7.53,266.91,246.93,248.23,1.49,Thursday,10,2015,4
2015-10-23,273.65,278.68,273.54,276.5,29442500,0.9,5.14,2.85,268.85,248.47,248.1,1.49,Friday,10,2015,4
2015-10-24,276.5,281.71,276.5,281.65,25942400,1.87,5.2,5.15,270.43,250.04,247.97,1.49,Saturday,10,2015,4
2015-10-25,281.45,294.06,281.45,283.68,45717100,0.72,12.61,2.23,273.58,251.66,247.86,1.49,Sunday,10,2015,4
2015-10-26,283.63,285.3,280.51,285.3,32108800,0.57,4.79,1.67,276.7,253.36,247.76,1.47,Monday,10,2015,4
2015-10-27,285.18,296.21,285.01,293.79,46331800,2.98,11.2,8.61,280.17,255.39,247.81,1.51,Tuesday,10,2015,4
2015-10-28,293.7,306.33,293.7,304.62,50808100,3.69,12.63,10.92,285.65,257.57,248.0,1.56,Wednesday,10,2015,4
2015-10-29,304.32,318.17,301.82,313.86,64495900,3.03,16.35,9.53,291.34,260.15,248.32,1.57,Thursday,10,2015,4
2015-10-30,313.94,334.17,313.94,328.02,78305000,4.51,20.23,14.07,298.7,263.21,248.84,1.68,Friday,10,2015,4
2015-10-31,328.51,332.78,309.25,314.17,48598100,-4.22,23.53,-14.35,303.35,265.77,249.19,1.94,Saturday,10,2015,4
2015-11-01,315.01,327.47,311.88,325.43,37001100,3.59,15.59,10.43,309.31,268.7,249.68,1.99,Sunday,11,2015,4
2015-11-02,325.94,365.36,323.21,361.19,101918000,10.99,42.15,35.25,320.15,272.79,250.52,2.69,Monday,11,2015,4
2015-11-03,361.87,417.9,357.65,403.42,206162000,11.69,60.25,41.54,335.81,278.29,251.87,3.25,Tuesday,11,2015,4
2015-11-04,403.66,495.56,380.55,411.56,263900000,2.02,115.01,7.9,351.09,284.0,253.35,3.25,Wednesday,11,2015,4
2015-11-05,408.08,447.56,374.58,386.35,151824992,-6.13,72.98,-21.72,361.45,288.67,254.54,3.56,Thursday,11,2015,4
2015-11-06,388.05,395.84,354.02,374.47,122687000,-3.08,41.81,-13.58,368.08,293.06,255.8,3.62,Friday,11,2015,4
2015-11-07,374.27,390.59,372.43,386.48,56625100,3.21,18.15,12.21,378.42,297.86,257.15,3.62,Saturday,11,2015,4
